Auteurs,References articles
M.A.Jafarizadeh,"['9712240', '9903152', '9903154', '9904166']"
A.Rezaei-Aghdam,"['9712240', '9903152', '9903154']"
H.K.Jassal,"['9712242', '9905170', '9912245', '0008166', '0106164', '0203224']"
R.P.Saxena,"['9712242', '9803089', '9809010', '9905170', '9906117']"
M.Göckeler,['9712244']
R.Horsley,['9712244']
V.Linke,['9712244']
P.Rakow,['9712244']
G.Schierholz,['9712244']
H.Stüben,['9712244']
A.E.Faraggi,"['9712245', '0209245']"
A.Galajinsky,"['9712247', '9805079', '0112075', '0212204']"
Borge Nodland,['9712250']
J.Teschner,"['9712256', '9712258', '9902189', '9906215', '9911110', '0009138', '0104158', '0108121', '0110244', '0112198', '0212243', '0303149', '0303150']"
R.Ramanathan,['9801006']
Ilka Agricola,['9801011']
V.R.Khalilov,"['9801012', '0001120']"
Celine Laroche,"['9801014', '9907099', '9909131']"
Evgeny Ivanov,"['9801016', '9809108', '9810005', '0001165', '0104078', '0110280', '0205104', '0301241']"
Boris Zupnik,"['9801016', '9812244']"
Ivo Sachs,"['9801019', '9806122', '9907201', '9910015', '0002061', '0011254', '0102155', '0107173', '0112055', '0212308']"
Shmuel Elitzur,"['9801020', '9805123', '9807161', '9811245', '0005052', '0108142', '0212242']"
David Tsabar,"['9801020', '9811245']"
Emil M.Prodanov,"['9801026', '9810044', '9906143', '0003299', '0008156', '0010202', '0103151']"
Giuseppe Carlino,"['9801027', '0001036', '0005076', '0104064']"
D.Maxera,['9801028']
Stephen F.Hewson,['9801029']
Pablo Minces,"['9801035', '9902123', '9907079', '0110189', '0201172', '0212031']"
Ali Namazie,['9801035']
Rika Endo,"['9801037', '0107191']"
G.Roepstorff,"['9801040', '9801045', '9907221', '0005079']"
Mikhail Shaposhnikov,"['9801041', '0004014', '0006251', '0008079', '0008087', '0102161', '0205320', '0206016', '0303247']"
P.G.Tinyakov,"['9801041', '0006046']"
Liviu Tataru,['9801049']
T.J.Fields J.R.Spence,['9801050']
Ron Y.Donagi,"['9801057', '9802093', '9802094', '9806094', '0105199']"
Andrei Lossev,['9801061']
Nikita Nekrassov,['9801061']
Takuya Hayashi,"['9801062', '9805068']"
Malgorzata Bakalarska,"['9801065', '9801137', '9802002', '9903177', '9904060', '9911130']"
Bernd Schroers,['9801066']
K.Takenaga,"['9801075', '9902069', '9902070', '9912229', '0003194', '0011058', '0105053']"
Harm Jan Boonstra,"['9801076', '9803231']"
L.Huiszoon,['9801082']
Chaouki Boulahouache,['9801083']
M.Chaves,"['9801088', '9811135', '9911162', '0102055']"
H.Morales,"['9801088', '9911162']"
Roger Bielawski,"['9801091', '9801092']"
M.Gattobigio,"['9801094', '9811188']"
F.Sannino,"['9801097', '9802017', '0208153']"
J.Schechter,['9801097']
J.L.Nielsen,"['9801099', '9806241']"
J.Rolf,"['9801099', '9806241']"
Stefano Giusto,['9801100']
Markus H.Thoma,['9801103']
Cresus F.L.Godinho,"['9801107', '9905003', '0002026', '0110297']"
A.Naqvi,"['9801108', '9808026']"
L.Randall,"['9801108', '9806092', '0002091']"
Matteo Bertolini,"['9801110', '9803096']"
Donal O'Driscoll,"['9801114', '9901028', '9908071']"
Laura Andrianopoli,"['9801116', '9803171', '9807150', '9912049', '0012203', '0104155', '0110277', '0112118']"
Arthur Jaffe,['9801119']
Tianjun Li,"['9801123', '9908013', '9908174', '9911234', '9912182', '0007039', '0009132', '0104134', '0107136', '0110065', '0112046', '0112255', '0204128', '0207126', '0304258']"
Geoffrey R.Golner,['9801124']
M.Ferraris,"['9801126', '0301146']"
M.Francaviglia,"['9801126', '0108112', '0301146']"
D.Brecher,"['9801127', '9804180', '9908018', '0012076', '0104046', '0106206', '0210308', '0302206']"
M Bordag,"['9801129', '9804103']"
J Lindig,['9801129']
Egor Bugrij,['9801131']
Sandip Bhattacharyya,"['9801141', '9812081', '0106232', '0206032']"
Hsin-Chia Cheng,"['9801146', '9806076', '0104179', '0301218', '0302034']"
M.B.D.Silva Maia Porto,['9801151']
N.J.Kim,"['9801152', '9803227', '9803080', '9805050', '9902156', '0101091', '0104159', '0304231']"
Kazunari Shima,"['9801153', '0012235', '0101178', '0109042', '0111283', '0112052']"
Lorenzo Fatibene,"['9801155', '9810039']"
Mauro Francaviglia,"['9801155', '9810039']"
Stephen P.Martin,['9801157']
James D.Wells,['9801157']
George Papadopoulos,"['9801158', '9907156', '0007083', '0105308', '0110242', '0201081', '0202111', '0211089', '0304198']"
Jan Pieter Van Der Schaar,"['9801158', '9806069', '9907006', '0106046', '0111061', '0202127']"
Eizou Umezawa,"['9801164', '9910005', '0212176']"
A.G.Pronko,['9801167']
N.I.Abarenkova,['9801167']
Odd Magne Ogreid,"['9801168', '9904206']"
Per Osland,"['9801168', '9904206', '0010176', '0102014']"
T.Pause,['9801169']
D.E.Evans,"['9801171', '9805023', '9812110']"
Volker Braun,"['9801175', '0005103', '0012157', '0110232', '0111048', '0206038', '0210083', '0211173']"
Giulio Magli,['9801177']
P.D.Jarvis,"['9801178', '0207262', '0301209']"
G.Leibbrandt,"['9801185', '9804109', '9911211', '0012173']"
A.Richardson,['9801185']
J.Manjavidze,"['9801188', '9802098', '9811160', '9902172', '0003039', '0104252']"
M.Barrio,['9801189']
R.Helling,"['9801189', '9905183']"
G.Polhemus,['9801189']
Prasanta K.Tripathy,"['9801193', '9811186', '9904186', '9906164', '9911065', '0009130', '0104087', '0211182', '0301139']"
P.Jizba,"['9801197', '9809110', '9811236', '0002259']"
Georges Girardi,['9801201']
Michael Faux,"['9801204', '9803254', '9903028', '0005251', '0108078', '0207162', '0208030']"
Shigemitsu Tomizawa,"['9802004', '0101042']"
C.Von Reichenbach,['9802014']
Noah Graham,"['9802015', '0201148', '0205257', '0211244']"
Robert L.Jaffe,"['9802015', '0201148']"
N.Kitazawa,['9802017']
V.Grassi,['9802021']
R.A.Leo,"['9802021', '9911122']"
T Prestidge,['9802028']
V.Akulov,"['9802032', '9905070', '0104187']"
V.Zima,['9802032']
C.Heineman,['9802036']
C.Martin,['9802036']
E.Iancu,['9802036']
Nissan Itzhaki,"['9802042', '9803263', '0304192']"
Pietro Fre' Theory,['9802045']
Susy,['9802045']
Unification Held In Neuchatel,['9802045']
September 1997,['9802045']
Thomas C.Kraan,"['9802049', '9805168', '9805201', '9806034', '9811179']"
Nils R.Scheithauer,['9802058']
Joo Youl Lee,['9802062']
Jan M.Pawlowski,"['9802064', '9809020', '9809023', '9901063', '0009110', '0107020', '0111191', '0202188', '0203005', '0205116', '0208216', '0302117']"
M.Hortacsu,"['9802072', '9810173', '0106080']"
K.Ulker,"['9802072', '9810173', '0011103', '0108062', '0304154']"
Horatiu Nastase,"['9802074', '9905075', '9911238', '0002028', '0004123', '0008239', '0010106', '0105049', '0202021', '0205048', '0303173']"
Misha Stephanov,['9802074']
Anton Rebhan,"['9802074', '0206229']"
C.Lu,['9802075']
M.Banados,"['9802076', '9806089', '9911101', '9911150', '0009066', '0104264', '0107214', '0203021']"
T.Brotz,"['9802076', '9903222']"
M.Ortiz,"['9802076', '9806089', '9903222']"
L.O.Raifeartaigh,['9802078']
Kun Shen,['9802081']
Yu-Ping Kuang,['9802081']
Takayuki Nakajima,['9802082']
T.Tada,"['9802085', '9908038', '9908141']"
Mark Wellmann,['9802087']
Igor Halperin,['9802095']
Ariel Zhitnitsky,['9802095']
L.R.U.Manssur,"['9802096', '9805128', '9910127', '0005214']"
Christos Kokorelis,"['9802099', '9810187', '9812068', '9908122', '0001062', '0001217', '0006194', '0203187', '0205147', '0206108', '0207234', '0209202', '0210004', '0210200', '0211091', '0212281']"
Hiroshi Kato,"['9802101', '9812041']"
M.S.Goes-Negrao,"['9802104', '9903126', '0006065', '0111175']"
A.R.Pereira,['9802104']
G.Salesi,['9802106']
E.Recami,['9802106']
H.Hernandez F.,['9802106']
L.C.Kretly,['9802106']
F.J.De Urries,"['9802115', '9812020', '0105301']"
O.B.Zaslavskii,"['9802117', '9804089', '9804090', '9904184', '9911077', '0001090', '0208206', '0211207', '0211262', '0212298']"
Andre' Wilch,['9802118']
A.Momen,"['9802119', '9811006']"
S.J.Brodsky,"['9802120', '0107246', '0209028', '0304106']"
J.R.Hiller,"['9802120', '0003249', '0101120', '0102094', '0106193', '0107246', '0112151', '0203162', '0206197', '0207122', '0208166', '0209028']"
Wojtek Zakrzewski,"['9802122', '9802131', '9802177']"
Robin Michaels,['9802124']
B.B.Deo,"['9802128', '9804116', '9806183', '9911106', '0002224', '0106132', '0211223', '0212004', '0301041', '0302133']"
Feodor A.Smirnov,['9802132']
A.V.Shpagin,['9802136']
M.Haskins,"['9802137', '0301148']"
Jrtomoko Kadoyoshi,['9802139']
Marion Wirschins,"['9802143', '0004130']"
M.Disertori,['9802145']
A.Campbell-Smith,"['9802146', '9904173', '9905132', '9907141', '9908139', '0003262']"
Oded Kenneth,['9802149']
Z.Nemeth,['9802159']
N.A.Sveshnikov,['9802161']
E.G.Timoshenko,['9802161']
M.Perelstein,"['9802162', '9809160', '9809163', '9811140', '9911194', '0002078']"
J.S.Rozowsky,"['9802162', '9809160', '9809163', '9811140', '9911194', '0002078', '0207043']"
A.F.Ranada,['9802166']
J.L.Trueba,['9802166']
Lorenzo Sorbo,"['9802167', '9810133', '0103202', '0203036', '0206146']"
P.Baseilhac,"['9802169', '9905221', '9906010', '0001091', '0002213', '0002232', '0005161', '0009245', '0102024', '0104220', '0106275', '0203085', '0208005', '0212342', '0304120']"
Bernard S.Kay,"['9802172', '9810077']"
Inbo Kim,"['9802176', '9806112']"
J.Naud,['9802181']
I.Nemenman,['9802181']
M.Van Raamsdonk,['9802181']
J.Gutowski,"['9802186', '9811207', '9902034', '9905156', '9910022', '0002242', '0102165', '0104105', '0107252', '0109123', '0109126', '0208051']"
Troels Harmark,"['9802190', '9905067', '0002157', '0006023', '0007147', '0012142', '0204047', '0301206']"
J.Pawlowski,['9802191']
T.Tok,"['9802191', '9809209', '9811248', '0001175', '0005221', '0009205', '0011068', '0203012', '0302100']"
Eduardo Eyras,"['9802199', '9806169', '9812188', '9812225', '9902206', '9908094', '9908121', '0003033']"
Christian Fronsdal,"['9802203', '9803013', '9901043', '9911241', '0103113']"
Boris Körs,['9803144']
Masud Chaichian,"['9803146', '9808114', '9903103', '9909158', '9909159', '9912193', '0003269', '0101210', '0105055', '0202209', '0209024']"
Wen-Feng Chen,['9803146']
N.D.Vlachos,"['9803149', '9911177', '0302013']"
Wan-Yun Zhao,['9803151']
Massimo Blasone,"['9803157', '9902124', '9910187', '0007138', '0103087', '0108177', '0204184']"
Peter A.Henning,"['9803157', '9902124']"
M.Christensen,"['9803158', '9811148']"
S.A.Cherkis,['9803160']
M.Reza Rahimi Tabar,['9803161']
R.Abbaspur,['9803162']
E.G.Gimon,['9803168']
Oliver Haschke,"['9803169', '9807194', '9809152', '9811011']"
O.Lunin,"['9803170', '9806133', '9809165', '9811254', '9904027', '9910222', '0003249']"
V.S.V.Varadarajan,['9803175']
H.A.Kastrup,"['9803180', '9907042', '9907043']"
Jorgen Rasmussen,"['9803182', '9803114', '9807153', '9905181', '0002188', '0003035', '0104240', '0106287', '0108054', '0110223', '0112078', '0205322']"
T.S.Evans,"['9803184', '0010178', '0104128', '0204166']"
O.Andreev,['9803188']
T.Krajewski,"['9803199', '9903187', '9912217', '0104090']"
Pavol Severa,"['9803201', '9811136', '0206162']"
A.S.Mueller,['9803204']
H.-C.Pauli,"['9803204', '9806133']"
Dominic Lee,['9803211']
Georgios Metikas,"['9803211', '9910063']"
Neil D.Lambert,"['9803216', '9811024', '0002061', '0102159', '0107031', '0206243']"
Peter C.West,"['9803216', '9811024']"
G.E.A.Matsas,['9803219']
E.S.Moreira Jr,"['9803219', '9807184', '0301194']"
Luiz C.De Albuquerque,"['9803223', '9912270', '0107154', '0108240']"
Christian Jaekel,"['9803233', '9803245', '9804017', '9811227', '9901015', '9904049', '0001154']"
G.M.Sotkov,"['9803234', '9803122', '9810011', '9810057', '0002173', '0007116', '0007169', '0010257', '0011187', '0109117', '0201047', '0205228', '0212046']"
Hiromi Kase,"['9803240', '9812231', '0010253', '0212176']"
J.Novotny,['9803244']
M.Schnabl,"['9803244', '0002210', '0006091', '0104090']"
B.Jensen,"['9803246', '9804196', '0004041']"
W.Krolikowski,['9803255']
Andreas Brandhuber,"['9803263', '9903186', '9905148', '0010048', '0106034', '0112113', '0205184', '0303001']"
S.A.Antonenko,['9803264']
A.I.Sokolov,"['9803264', '9808011', '9810082', '0003140', '0301077']"
S.-W.Kim,"['9803006', '9907019', '0111219']"
Avijit K.Ganguly,"['9803009', '9804134', '9804195']"
Palash B.Pal,"['9803009', '0209012']"
B.Carter,"['9803012', '9811075', '0101061']"
R.A.Battye,"['9803012', '9811075', '0008192', '0012215', '0101061']"
Monica Borunda,"['9803016', '0301180']"
F.Jegerlehner,"['9803021', '0005255']"
Alessandra Buonanno,"['9803025', '0004042', '0006054']"
Francesco Antonuccio,"['9803027', '9810093', '9811083', '9812036', '9906087']"
Oleg Lunin,"['9803027', '9811083', '9906087', '9911243', '0005282', '0006196', '0103169', '0105136', '0107113', '0109154', '0202072', '0206107', '0211292', '0212210', '0304007']"
A.Accardi,['9803029']
A.Belli,['9803029']
M.Sadzikowski,['9803032']
S.A.Paston,"['9803035', '9901110', '9901029', '9910114', '0002062', '0011224', '0111009', '0303180']"
David Mateos,"['9803040', '9807113', '9901060', '9903156', '0002020', '0106012', '0112054', '0204062', '0205291', '0206194', '0207136', '0304032']"
M.Cristina Diamantini,['9803046']
Angel M.Uranga,"['9803054', '9803086', '9805139', '9811004', '9910155', '9912145', '0007173', '0010091', '0104173', '0107143', '0107166', '0108196', '0109063', '0111179', '0201221', '0204079', '0208014', '0301032', '0301099', '0303024']"
Ken-Ichi Aoki,"['9803056', '9812050', '9908042', '9908043', '0002038', '0002231']"
Keiichi Morikawa,"['9803056', '9908042', '9908043', '0002231', '0103121']"
Wataru Souma,"['9803056', '9907027', '0002231', '0103075']"
Jun-Ichi Sumi,"['9803056', '9908042', '9908043', '9912215', '0002231', '0006016']"
V.G.Ivanov,"['9803059', '9908068']"
T.Koide,"['9803070', '0008182']"
M.Maruyama,"['9803070', '0008182']"
F.Takagi,['9803070']
Mohammad Khorrami,"['9803071', '0004154', '0007013', '0007073', '0101005', '0304204']"
L.A.Manzoni,"['9803079', '9804048', '9811114', '9911103', '0008098']"
Hatem Widyan,"['9803089', '9809010', '9906117']"
N.Panchapakesan,"['9803089', '9809010', '9906117']"
Pietro Fre`,"['9803096', '9903036']"
D.E.Jaramillo,['9803098']
J.H.Munoz,['9803098']
A.Zepeda,['9803098']
Pascal Tran-Ngoc-Bich,"['9803101', '0101170']"
Victor A.Matveev,"['9803102', '9910157', '0011272']"
Ori Ganor,['9803108']
Anatoly Morosov,['9803110']
Michael J.Booth,['9803113']
D.J.Lee,"['9803115', '9806025']"
Z.C.Wu,['9803121']
G.Longhi,"['9803128', '9809024']"
M.Materassi,"['9803128', '9809024', '9904202']"
O.Verhoeven,"['9803129', '0007095']"
Andrew G.Cohen,"['9803132', '9901109', '9910132', '0103135', '0104005', '0109082', '0110146']"
Ann E.Nelson,['9803132']
A.B.Kaganovich,"['9803134', '0007144', '0106152', '0110040', '0110221']"
A.De Martino,"['9803136', '9809178', '9812009']"
P.C.Tjiang,['9804002']
Panagiotis Saltsidis,['9804003']
R.L.P.G.Do Amaral,"['9804005', '9804098']"
Alex Buchel,"['9804007', '9806234', '9907203', '9910125', '0008076', '0011146', '0101056', '0103022', '0107102', '0203041', '0207214', '0207235', '0211141', '0302107']"
Irina Ya.Aref'Eva,['9804018']
Alexey S.Koshelev,['9804018']
A.S.Koshelev,"['9804021', '9812238', '9911149', '9912075', '0001215', '0003176', '0011117', '0107197', '0111208', '0203227', '0301137']"
José Gaite,['9804025']
R.Pettorino,"['9804032', '9808164', '9812152', '0001146', '0011071', '0208153']"
F.Pezzella,"['9804032', '9808164', '9812152', '9903027', '9912158', '0003044', '0011071', '0208153']"
Alberto Guijosa,"['9804034', '9810092', '9902197', '9906153', '0004187', '0009182', '0012183', '0106201', '0201140', '0301223']"
Wolfgang Mueck,"['9804035', '0103111', '0105270', '0201100', '0205061']"
Wen-Fa Lu,"['9804047', '9807025', '9907004', '9908055', '0101103', '0104205', '0204046', '0207261']"
Toshinao Akuzawa,['9804049']
O.Raetzel,"['9804051', '9810081']"
Johanna Erdmenger,"['9804053', '9809090', '9811209', '9905176', '0005192', '0103219', '0203020', '0211222', '0212265']"
Christian Rupp,"['9804053', '9809090', '9811209', '9910153', '0101153', '0101165', '0205013']"
F.Cordaro,"['9804056', '9807136', '0009048']"
L.Gualtieri,"['9804056', '9807136', '9905134', '0009048']"
Leonardo Rastelli,"['9804058', '9808006', '9902042', '9903196', '9905049', '9911222', '0006240', '0011044', '0012251', '0102112', '0105058', '0105168', '0106010', '0111153', '0111281', '0111129', '0201159', '0202151', '0211012', '0304192']"
Jin Hong,['9804063']
Seok-Jin Kang,['9804063']
Riccardo Rattazzi,"['9804068', '9908085', '0107141', '0303116']"
Tomoaki Mukai,['9804070']
Prospero Simonetti,['9804080']
Dimitrios Tsimpis,"['9804081', '9904217', '9906190', '9911042', '0006093', '0102009', '0104236', '0106266', '0110069', '0205165']"
M.Borunda,"['9804082', '0210075']"
Shervgi S.Shahverdiyev,['9804088']
Pushan Majumdar,"['9804091', '9804128', '9805102', '9806148', '0008077']"
Tack Hwi Lee,['9804094']
J.Lachapelle,['9804112']
L.P.Singh,"['9804116', '0208097']"
R.Aldrovandi,"['9804117', '0207095']"
V.C.De Andrade,"['9804117', '0207095']"
J.G.Pereira,"['9804117', '0207095', '0210103']"
Romesh K.Kaul,"['9804122', '0005096', '0302170']"
N.M.Muller,"['9804130', '0205021']"
D.Karabali,"['9804132', '0007188', '0111249']"
C.Kim,"['9804132', '0007188']"
Brent H.Allen,"['9804136', '9812080', '9908124', '9908161']"
K.Suehiro,['9804138']
T.Tsukioka,['9804138']
H.Umetsu,"['9804138', '9903259']"
S.S.Xulu,['9804140']
Pedro D.Fonseca,['9804144']
Sharmanthie Fernando,"['9804147', '9809139', '9901066']"
Isabel P.Ennes,"['9804151', '9806144']"
Masahiro Kubo,['9804161']
Ziro Maki,['9804161']
Mikio Nakahara,['9804161']
S.Deger,['9804166']
A.Kaya,"['9804166', '9908089', '0001169', '0010141', '0012139', '0203239', '0206057']"
M.Derix,"['9804177', '0003023']"
C.A.Linhares,"['9804186', '9902154']"
Stephen C.Hahn,"['9804187', '9901019']"
Norbert Scheu,['9804190']
Asim Gangopadhyayaa,['9804191']
Jeffry V.Mallow,"['9804191', '0103054', '0206133']"
B.Kleihaus,"['9804192', '9805059', '9806088', '9901096', '9903235', '9904048', '9906213', '9907035', '9909037', '9909090', '9909160', '0006148', '0008034', '0210197']"
J.Kunz,"['9804192', '9903235', '9904065', '9911148', '0006148', '0008034', '0210197']"
Panagiota Kanti,"['9804194', '9804203', '0104177', '0110298', '0303073']"
Takeshi Sato,"['9804202', '9805209', '9812014', '9906084', '9912030', '0003240', '0102084', '0304237']"
V.Varela,['9804204']
Antun Balaz,"['9804207', '9810122']"
Aleksandar Belic,"['9804207', '9810122']"
Aleksandar Bogojevic,"['9804207', '9810120', '9810121', '9810122', '9811074']"
Arkady Tseytlin,"['9805006', '0001204', '0106241']"
Robert Echols,"['9805007', '9806109', '9810021']"
Joshua P.Gray,"['9805007', '9806109', '9810021']"
Stephen Berman,['9805016']
Urs Walther,['9805022']
J.Bockenhauer,['9805023']
David D.Song,"['9805027', '9812235']"
Anupam Mazumdar,"['9805032', '0210254']"
Albert Schwarz Algebras; Quantum Algebra,['9805034']
Michio Hashimoto,['9805035']
Khosrow Chadan,['9805036']
Andre Martin,['9805036']
Tai Tsun Wu,"['9805036', '0210214']"
Wei Zhang,"['9805037', '9806242', '9806245']"
G.Fulop,['9805040']
Hartmann Roemer,['9805042']
Anton V.Galajinsky,"['9805044', '0302156']"
S.Gonorazky,"['9805054', '9812094']"
G.Silva,"['9805054', '9812094', '9906244', '9911119']"
K.Pohlmeyer,"['9805057', '0206061']"
E.R.Takano Natti,['9805060']
Chi-Yong Lin,"['9805060', '9805061', '0003295', '0010100']"
A.F.R De Toledo Piza,['9805060']
Arthur K.Kerman,['9805061']
David Hillman,['9805066']
